insult,date,comment,Not an Insult
1,20120619074710z,faggot,Insult
0,20120529201852z,you right if you are relaxe then you can give better result or perform and your identity should be from your work.,Not an Insult
1,20120529130844z,aimless abe you are a delusion weirdo that should be locked up inside and kept away from computers.  anyone who doubts the lunacy of abe the moronic prog frog from nyc please read this thread and you will see abe completely come apart from the seams and go off the deep end.,Not an Insult
0,20120610150536z,"that, i do not doubt...

....as a blackberry clone.

but, your original argument was not that android would have existed, just that android somehow predates ios development.",Not an Insult
0,20120530023429z,"okc should work out a deal to get a pg who plays more like parker or cp3.  i think nash at the point, and move westbrook to sg that team would be unstoppable.  imagine the shots nash would create for durant.  then westbrook would be at his natural position too, the guy doesn't create shots or distribute.",Not an Insult
0,20120619183841z,"maher's show goes on and on....
palin's  alakda show gets canceled.

isn't the ""free market"" wonderful?",Not an Insult
1,20120320131007z,even as a troll you are a pathetic failure.,Not an Insult
0,20120529231612z,"grazie mille sabrina! sei così dolce.

baci.",Not an Insult
0,20120530064120z,"yeah well, it would still be better than letting them sit there for 20-30 years on my dime before sticking a needle in their veins. i say give them all a noose. if they choose to kill themselves, so be it.",Not an Insult
0,20120612003945z,"um
 
holy fuck i need a cigarette",Insult
1,20120502173058z,"you're a moron, truth is beyond your reach",Not an Insult
0,20120529022638z,you seem wistful.,Not an Insult
0,20120529141937z,"damn, speedy recovery, paul...raining prayers down on you!",Not an Insult
0,20120528151453z,the laughs you two heard were triggered by memories of his own high-flying exits off moving beasts,Not an Insult
1,20120619203151z,"your anti-semitic rants are not welcomed here. you are a racist moron.
fu!",Insult
0,20120620175146z,@nonstopdrivel was fredex on this team?,Not an Insult
1,20120619033424z,"god, you're tiresome. get a life, you loser.",Insult
0,20120612141919z,"stop pretending ur not bradley's side. you're the bs..are u blind don't give us that stupid long explainations of yours, you  sounds like that 2 idiot judges exactly carbon copy !!...arum we need our moneyyyy bacckkkkkkk !!!!!!",Insult
0,20120610012708z,fucking weird game man,Insult
0,20120620031132z,i told you i would give it if you did. you started acting likje a tough guy behind your moms computer then i asked you 20 times for an address and you still won't give it.,Not an Insult
0,20120619055834z,i don't know if lewis is a little boy or little girl. either way it becomes the third on my list of petulant idiots. you will understand when you grow up. ask an old bastard member of your family to explain. such actions cannot be tolerated. how come you blame the line judge? weird.,Not an Insult
0,20120620015832z,thats a pathetic flop fuck you jvg,Insult
0,20120611195156z,why should they bother improving ios if they sell more phones than they care to produce. these advice are better served to the also-runs... wp first and foremost,Not an Insult
0,,"spursruss: i live in argentina and its not all argentinians. the problem being those who are loud on the issue are ill educated and you can be sure they wouldn't be rushing to fight anyone, they would be cowering in the background. my wife is argentinean and she is the first one to recognize the stupidity of the claims. some of muppet think they fought their independence against the uk, morons the lot of them. the answer is simple, if we were the leading colonial force, you would be an english speaking country, you aren't, because werent it was spain, portugal, france, our interests were commercial. also the worst part is they themselves exterminated the natives, the spanish started it but actually it was the newly formed argies which did most of the killing of the native, lovely eh? clueless stuff, you wonder why the government gets away with corruption, so many ignorant people thats why...you shouldnt judge all by the standard, these a huge amount of argies who see the cristina drum beating for what it is, the same as all presidents of argentina do, using it to cover their failing.",Insult
0,20120527153941z,you better hope because the marlins have a history of giving up their superstars,Not an Insult
0,,"well, you guys have gone and done it now. you put the words 'china' and 'chinese' up the required number of times for the dating asians ad to come up. evidently, ms. zhang, 50kg and 168cm [for a bmi of 17.8] from 'hunan china' wants to meet me. she has her little mouth open like she's speaking. what's that you ask, zhang? well, yes, as a matter of fact i am a physician.  why are you clapping your hands together and jumping up and down?  stop that squealing, young lady and 'exprain' yourself!",Not an Insult
0,20120620154731z,you mean like your off topic obama rant bellow?,Not an Insult
0,20120529035809z,i hope they do it inconjunction with july 4....,Not an Insult
0,,"surely will be a crushing blow, when he doesn't get the next four years, would you consider leaving the country????????????????",Not an Insult
0,20120611225404z,"i haven't watched fox news in years, true.",Not an Insult
0,20120528200101z,are you in france?,Not an Insult
0,20120620001100z,i'll take that temp...i really hate the heat,Insult
0,20120620070034z,"alexis bledel can act. wait. can she? i have this blind spot when it comes to impossibly beautiful women. shit, maybe she can't act. fuck, what the hell do i do now?

what the hell do i do now!?",Not an Insult
0,20120612035513z,"i like your comments.
however i would go one step further.  it's not time to ""let"" the people of il fight back.
rather the citizens of il just need to fight back period.  
i will carry next time i travel into ""little beirut"".  i.e. chicago",Not an Insult
1,20120619194023z,fact : georgia passed a strict immigration policy and most of the latino farm workers left the area. vidalia georgia now has over 3000 agriculture job openings and they have been able to fill about 250 of them in past year. all you white real americans who are looking for work that the latinos stole from you..where are you ? the jobs are i vadalia just waiting for you..or maybe its the fact that you would rather collect unemployment like the rest of the tea klaners.. you scream..you complain..and you sit at home in your wife beaters and drink beer..typical real white tea klan....,Not an Insult
1,20120530000452z,of course you would bottom feeder ...,Not an Insult
0,20120619201802z,"mátenlos!!
http://1.bp.blogspot.com/-yvszmvv2irw/tmo8kfaugmi/aaaaaaaaa0k/nllaahknnis/s1600/kill_it_with_fire_kill_it_kill_it_with_fire-s670x394-132457.jpg",Not an Insult
1,20120619162450z,"you are  a fukin moron.    you are just butthurt that you got rejected on wikipedia.

call yoursilf scolar or whatever.  i am better than you,  just 14 and already a wikipedia administrator.  you are just a stupid ashole.",Insult
0,20120528135045z,"he is doing what any president doe's on this day.
i do not recall if other presidents appeared at the wall.

election year.... yea, but then again you would never say anything
if he did not appear. you can not have it both ways.",Not an Insult
0,20120619193808z,"...yeah, and you're a f'ing expert.....go back to picking through trash barrels you tool",Not an Insult
0,20120618201005z,"those trails will definitely get plowed regardless of the investigation. they'll just see it as easier to plow the area than deal with it. and once they got plowed i would never return or risk getting stopped and heavily questioned by the po-po's. 

p.s. - all the stupid comments are unnecessary. it's really easy to be cold and heartless and act like you don't give a fuck. but i'd like to see these anonymous commentators talk shit like that in front of this person's family or even their own mother's. grow up children and learn some respect.",Insult
0,20120529200220z,suh had a sack the last time they played.,Not an Insult
0,20120612001540z,"and you are support argument a-hole....

not everyone games on their pc's either.  spec whores miss the point entirely.......

i prefer the mac to my daily work.  that beings said, i'm also a big believer in the best tool for the job and there are certain things that pc's do better, (database and servers for instance)

the thing is that you havent proved anything other than an anti apple bias and name calling (guilty myself to get your attention) id just juvenile",Not an Insult
1,20120619171832z,you are a fucking dumb ass!.  go back to you xbox dickhead.  grow up you little fanboy.,Insult
0,20120515062952z,you know what would be fun? if you guys talked crap back to us. more entertaining,Insult
0,,@beeline @sidneycatsby ...i'm assuming you are in school in the states.,Not an Insult
0,,they should put all the gay and lesbians on an island...  oh wait there is manhattan.,Insult
0,20120610020958z,yolo. this is hilarious. canyon students are so racist! even though most of us are mexican! fuck gabby!,Insult
1,20120502203704z,"lets see your papers arealconservati.

till then shut the fuuk up sticky-chin.",Not an Insult
0,,"an interesting angle of organized religion is that religious persecution is never ok unless your defending your own religion.  you all aren't victims of religious oppression.  you are the oppressors.  btw, i'm not gay.  i just love how you people try to defend your persecution of others while claiming your are being persecuted.",Insult
1,,correction bitch! you don't think it's superb because your hating ass doesn't know talent..and again i am still waiting on you to submit a video of you singing..where is the youtube link? i am sure you will get all kinds of rave reviews lol,Insult
1,20120611215519z,"i think the only trickle that effected you was the trickle of sperm your dad gave your mom and most of that trickled down her leg.   go back to sleep, we will wake you when you are needed again.",Not an Insult
1,20120515142854z,and you keep on your knees and keep telling yourself that is a sausage in your mouth.  and that is cream cheese you are swallowing.,Not an Insult
0,20120620125953z,"what was that, like 2000 words about nothing? you're going after andrea mitchell? what, was fox infomercial not broadcasting yesterday? how about the apologies issued for the ""epa drones""? and yet here you are attacking andrea mitchell about some stupid gas station gimmick.

here's another newsflash for you, mr. romney (r1%) is out of touch. we all already know it. mr. romney's amazement wasn't just about some gadget at a ""petrol filling post"" but that people could actually buy food products there and that they actually eat it.

this very second mr. romney isn't even carrying a wallet. and it is very likely that he doesn't even know where it is. i'm still waiting for someone to ask him the tough campaign trail question of ""how much does a gallon of milk cost?"".

andrea mitchell and gas station food... unbelievable.",Insult
0,20120619032603z,@rourke needs to give me a fucking like  @jwoude23 hows everyone doin?,Insult
1,20120514051227z,fuck you both,Insult
0,20120619182936z,"powers,

msnbc is far far more biased and hostile in it's comments than fox. at least at fox there are usually opposing views. msnbc is just a shill for the president. and they keep having to fire their hosts for all the outrageous remarks they make.

now, cnn is getting almost as bad as msnbc.",Not an Insult
0,20120527213608z,what horrible trades are you talking about?,Not an Insult
1,20120320212724z,and retards like you back to the institutions.,Not an Insult
0,20120610004410z,weapons lol hes an idiot an waste of human space had it made and ruined it all,Insult
0,20120529210906z,"not a big fan of rondo, but the dude can ball...i wouldn't classify him as a big talker, just trying to psyche himself up...",Not an Insult
1,20120619190700z,"pig maher, you forgot your meds again. you know you are one sick sob so don't forget.",Insult
0,20120611201812z,"it's not just the rich screaming about taxes.  it's the average middle class american who pays his/her taxes and doesn't see the benefit of those taxes (but instead sees waste).  i pay federal taxes, but i don't use public schools, i'm not collecting any govt welfare or benefits, i pay for my own healthcare etc.  i use the roads and sewers, so i don't mind paying the city taxes for that.  my trash pick up is private, so i pay that directly to the trash company.  everyone should pay for what they 'use', not based on what they make.  if one wants to be a part of society, one should contribute and pay their fair share.  that includes the rich or poor.",Not an Insult
1,20120320095936z,mr. king isn't it about time you either grow a pair of balls or join the democrats who will love a pussy cat like you.,Insult
0,20120619203524z,"i'm amused by the fact that weblog cons drop any issue once it turns into a loser.

this is an expression of that amusement.",Insult
0,,gabriel.   getting time to blow that horn?,Not an Insult
0,20120529153517z,"exactly. like, i don't really give a shit how fat a person may or may not feel, but it really is shitty when your clothes don't fit. and not in a ""i'm so gross"" way but in a ""i can't very well leave the house naked!!"" way.",Insult
0,20120619204714z,"welfare queen into a whore, not a crack whore.  i think a whore is a more productive worker than a welfare queen.",Not an Insult
0,20120611235119z,"political correctness:

political correctness is a doctrine, fostered by a delusional, illogical minority, and rapidly promoted by an unscrupulous lamestream media, which holds forth the proposition that it is entirely possible to pick up a piece of ch*t  by the clean end.",Not an Insult
1,20120620063410z,"what an ass you are...funny i see a lot more of you ""nuts"" in cars then i ever have of pilots in panes...",Insult
1,20120530113926z,"you can take international law and  shove it. you are such a schmuck, i don t know why i even comment on your idiotic posts. the ""peace activists"" on the ship started hitting the soldiers with weapons in order to kill the.",Not an Insult
0,20120612023024z,blown is  a little pissy after he applied for a union job and was turned down.  he is just another good republican minion spreading today's message.,Not an Insult
0,20120619224557z,"if you dont have a teleport and air-mix ups ""you are nothing to me",Not an Insult
0,,stop trying to sound like a victim bitches dont understand men dont have the same temper and not the same thoughts go through ur mind than ours.. u put a nigga on da spot get up in his face and start throwing yo stank breath on us believe me u got it coming yal go no right period,Insult
0,20120610065027z,"robert moroni you fuckin dimwit, do you know what a parody is? it's a fuckin parody of fox news and it sounds accurate to me!",Not an Insult
1,20120514051108z,"the most evil, callous, vile, creature in all of mythology is your made up god. stop killing and eating babies, you dirty christard!",Not an Insult
0,20120620181659z,oops!  how embarrassing (for me)... you are right people1st... i bow to the superior movie intellect of your son :),Not an Insult
0,20120612031614z,"if you throw trash out your window, you get a yellow star bumper sticker.",Not an Insult
0,,once more we see where the soft immigration policy has let the citizens down.... i bet they come from a family who have less education than a retarded hampster yet were given a nice new life in britain... reap what you sow....,Not an Insult
0,,"nope. not working for me either.32-23-34www.facebook.com/annagillmodel

 

you have my email! :)",Not an Insult
0,20120514051012z,"that jump shooting bit gets old.  when you don't get calls on contact and get your shot thrown off you look for separation and you jump shoot.  especially if you ain't big, which is most teams because bigs and longs are rare/expensive at pro level.",Not an Insult
0,20120528033457z,"this was a tough loss for us, right now there are guys blowing each other in the locker room.""

-scott brooks",Not an Insult
1,20120320210420z,you're a complete and utter moron.,Insult
1,20120528221848z,"your still a loser, man we must have really gotten under your skin lol",Not an Insult
0,,"the ignorance here is astounding. clearly it says in the video that cleveland was already convicted of rape and is serving jail time for it. he's guilty. she was raped!! (for all of the morons who've said ugly statements about her or attacked the veracity of her story) the only determination that this court is trying to make is whether cash money should be held liable. i think it's reasonable that when you invite someone to make a professional presentation at your company that you provide necessary protections for that individual. i don't care whether cleveland was employed or just ""a hanger-on"" a professional guest should not have been left unattended in the hands of someone dangerous that was there admittedly with baby and slim's knowledge and permission. if you went to a store and were attacked by an employee or a ""friend of the boss"" (who was permitted to hang around premises), would you not hold the company responsible? ",Insult
0,20120620153735z,"fuck hard, then fuck slow, then fuck hard, and then start again.",Insult
0,20120529130655z,@axlrodes were you here for the wide receiver drama?,Not an Insult
0,20120611211947z,are you fucking kidding me no mirrors fuck you freesteam,Insult
1,20120618200449z,"nothing was confirmed in the 19th century you moron. there was no modern medical science to prove anything. dont try to quote from the same period of time that brought us the spanish inquisition. you are the lowest of the low, i feel sorry for you.",Insult
1,20120619175937z,"my best friend who is allergic to wheat, corn, soy, red dye, yellow dye, pistachios, tree nuts, kiwis, cherries, oranges, bananas, and seafood. if she gets anywhere near the smell of seafood her lungs constrict and she can no longer breath. last week she got cut by a dog leash that had pistachios on it and almost went into anaphylactic. i know a little about food allergies. 

i asked my friend if she thought it was rude and selfish of someone to want food allergies so they could die. she said you are a bitch. so i do not really think it is insulting that she wants food allergies so she can die. i think we're back to you're a bitch.",Insult
0,20120527182916z,"so not focusing on boston vs miami for a minute.... who's the scarier opponent, sanan or okc?",Not an Insult
1,20120610162400z,floyd has a better knock out percentage than pacman you dumb fuuuuck,Not an Insult
0,20120612082854z,so wat have u bn doing all along if u want to train them nw.we thot yo presence must strengthen the strike force bt proving otherws.shame!!!!!!!!!!!!!!!!!!!,Not an Insult
0,20120619014349z,"the dean of mean is a typical tory who believes there's one law for him and another one for everyone else.
big steve better get around to firing everyone at elections canada and replacing them with tory hacks before they really get into what the tories did in the 2011 campaign.",Not an Insult
0,,oh fab - we have a tennis player who has a sense of humour and who can smile. mr murray please note. mind you he has left it too late to cheer up. misery guts,Not an Insult
0,20120609183518z,"you are repeating yourself, mate.",Not an Insult
1,20120612083701z,you are one sick puppy.,Insult
0,20120620155324z,"very true, indeed! i've tried to sit down and study for hours straight without any breaks and i'm not nearly as effective as when i take a few breaks.",Not an Insult
0,20120611013005z,so da fuck wat if he prasie the devil look where he at keep doin ya thing my nigga,Insult
1,20120611204143z,"can i say dick on here?
your a dick.",Insult
0,20120611171123z,@niemerg1 right.  never said it was fool proof tho.,Insult
0,20120609231913z,the wonders of plastic surgery <3,Not an Insult
0,20120611173531z,"ron paul / cynthia mckinney 2012
the all wacko ticket!
calling all paul sheep to the barn for your daily feeding. don't forget your wallet!",Not an Insult
0,,"go on move to hollywood, join russell brand and take dan lobe with you",Not an Insult
1,,the way this fucking hoodrat is standing in that picture is boiling my blood. i'd like to meet this cunt in an alley for a few minutes. selfish fucking twat.,Insult
0,,"hahaha today a group of argentine veterans from the falklands war beat the crap out of a senator of the peronist party, the party in power right now, for using them for political purposes. the people in argentina are getting tired of this ""show"" the politicians are doing to distract the argentine population from other far more important problems.",Insult
0,20120527181201z,"we afford what we have to afford, marco.",Not an Insult
0,20120618223658z,"hey moron ""buttons1994"", kerry won't be able to bully obama like romney bullied a gay boy when he was in prep school by physically assaulting him.

but the clown romney won't be able to bully obama in a debate either, so it's a wash.",Insult
0,20120610043304z,"and like it matters, you are waiting for next year...i am still living in the playoffs...suck on it loser",Insult
0,,"should have hung for what he did, this country is all for the monsters that lurk among us!!!",Not an Insult
0,20120618200244z,"@childerz  @koosh12684  @jwoude23  @welfarecheese  @sdl  @nonstopdrivel 
 
right on. as long as we are both open and honest about how we come to our own conclusions, i couldn't give a shit if we disagree.",Not an Insult
0,20120619001635z,they are pecking him to death he gives up ugly runs,Insult
0,,"@blaine jungwirth definitely thought that only deserved a 2, but hey, i takes what i gets!",Not an Insult
0,20120620142254z,i can't trend i'm on my ipod touch,Not an Insult
0,20120612020610z,"this was the joint back in the day!

and am i the only one who thought gregory looked like he could be philip michael thomas' brother?  lol",Not an Insult
1,20120503001924z,"how old are u 12? 

knicks fan beeyatch!!!

not a melo ball licker!!!",Not an Insult
0,20120529224055z,"anything better than the grover norquist, tea party, wall street, corporatist gop.",Not an Insult
1,20120619195231z,"bitch nigga you need an eye exam, and eye glasses! cassie one of the finest women on earth!",Insult
0,20120609235433z,are you attempting to be kinky here?  you have some kind of fetish?,Not an Insult
0,20120618204044z,"you get the gold star!the best post i've seen on here in months!!hilarious...great job,canadian!ps i think we need you to come down here.i'll sponsor you!!",Not an Insult
0,20120530024237z,how old are you?,Not an Insult
1,20120612051753z,"nothing worse then a idi0t who smugs because of who he is, gay",Insult
1,20120528043620z,you're a child rapist in ny. you have admitted it many times you sick fuck! you have no room to talk.,Insult
0,20120529130729z,@j.o.   the man was a genius.,Not an Insult
1,20120611235146z,anti american piece of-shit you are,Not an Insult
1,20120502165117z,"have you be sipping at th e sacramental wine again?

you really are a dense little dude.",Not an Insult
0,20120529093527z,"yes but remember - the government is listening to the views of the owner of wonga.

wonga will loan your business money (at astonomical rates)",Not an Insult
0,20120530054153z,"the tirade isn't what people caused people to dislike her.  read her comments.  like this one, ""i know of her story and her husband. we all have stories. i mean, i almost died, and venus is struggling herself. so, you know, it's life. "" 

she comes across as uncaring and selfish.  on top of that she never gives an opponent any credit--it's always about what she did.

i absolutely like venus--consistently root for her and have for years--but serena is an absolutely awful person that needs to grow up",Not an Insult
0,,"stacy c. is right - dumbama and his fat-ass wife and their cronies have created this atmosphere of govt. interference and what they feel govt entities should be doing.  schools and others take their cues from the top down, and when they see this admin. forcing restaurants to publish calories on menus, then they feel they should be doing ""their part"" for their messiah and become food police.  i cannot believe that a school puts out an approved food list.  i would be suing. ",Not an Insult
0,20120529113543z,"gallup daily
may 24-26, 2012 – updates daily at 1 p.m. et; reflects one-day change
no updates monday, may 28; next update will be tuesday, may 29.
obama approval48%-
obama disapproval45%-1
presidential election
obama47%-
romney45%-
7-day rolling average

 it seems the bump romney got is over and the president is on his game.",Not an Insult
0,20120612120924z,this is someone whose self-importance got the best of him. if anyone should be fired it would be tate. this kind of behavior is inexcusable and unbecoming of a man who holds the futures of many employees in his hand.,Not an Insult
0,20120530113019z,don't stand on your porch.,Not an Insult
0,20120528204226z,camp has got to come in here and get this guy. this is where you earn your money.,Not an Insult
0,,"you could not be more wrong. the american tea party stands for limited government. fiscal responsibility, and a return to our constitution. the tea party when it rallies or protests does it legally with brains. we pay the permits, arrange the events, say our piece, and then clean up and go home. the occupukes on the other hand. are not only different, they are opposite. they trespass, they steal, they show up without permission. they damage private property, they collect urine and feces to throw on people. they set fires, they smash store windows. they rape young girls. i can go on and on. oh and the heat, ac and warm beds were all paid for by those people. don't kid yourself that we are not committed to our cause because we are not stupid like you or ows. there is a right way and a wrong way to do things. you and the occupunks have choosen the later.",Insult
0,20120529084343z,because that is how they get their rocks off. our government is run by pedophiles who sexually torture children.,Not an Insult
0,20120514051009z,"he actually said ""what a spoiled bitch i am"".  i never hated colton the way most of the posters did, because i felt for him.  being gay in a republican family, can only mean that you have been villified.  he was dismayed that it was men vs women, as that took away any comfort zone he may have had.  the men didn't welcome him, and when he got power, it went to his ""spoiled bitch"" head.",Insult
0,20120610074630z,with inbreeds being the longest running malcontents.,Not an Insult
0,,"quote from teresa may ""that is why we have been trying to deport him to jordan, his home country."" trying - since when does a sovereign have problems trying to deport diseased minded scum like him. stuff the eu laws and if the uk is 'fined' by the eussr for doing this then don't pay it ... and then stop all financial payments to this corrupt experiment. it doesn't work, its broke so listen to the people camoron and have an in or out referendum .. now!",Not an Insult
0,,"@nilbymouth 

you are right concerning campbell.  my bad.  the qb carosel has me mixed up.  anyways, i still don't like knapp and think we went that road with him once before and do not need to revisit it again.  cable obviously did not think too high of him if he stripped his playcalling duties and decided to call the plays himself.  if knapp was truely great at what he does, he would have had some positive influence on this team with his quarterbacks, and in my opinion, he didn't....carson palmer needs a guy like saunders whose offensive connection to him is undeniable...",Not an Insult
0,20120529160040z,i'll like your comment too if it makes you feel better.,Not an Insult
0,20120610000015z,why didn't obama go to wisconsin and urge the republicans to abandon their own america form of austerity?,Not an Insult
0,20120528195900z,"if they deleted his post, i wold surely be banned for my flaming all over joe. :)",Not an Insult
0,20120502062701z,what the hell are you talking about?,Not an Insult
0,20120529035417z,"people dancing, drinking, having fun at the clubs in miami

""life is good in miami, heat won!!!! lets get drunk""

--heat fans",Not an Insult
0,20120515182944z,"this is so american. load of utter 'positive people makes positive lives' fake christian bullshit. 

put it this way, take 2 for example:give up complaining. this to me just reads like 'become a walk over'. if we all gave up complaining, nothing great would get done or crap would be accepted. go into a hairdressers, get a shit haircut for $100. don't complain because you are a happy, pissed-off with your shit haircut, person who's just been taken for a ride. give up the luxury of criticism. for a start it's not a luxury. you can be critical if you want. i believe it is a trait that i enjoy. why? many people are idiots. it's the truth. if you are in a job and you don't criticise people who do crap work then you'll have an office/workplace full of people who can't do their job.these are basic personality traits of intelligent people. but i guess retards are happier than all of us.",Insult
0,20120609213514z,you're one of my favorite commenters.,Not an Insult
0,20120611051049z,"dude, it looks nothing like the ""fag-box."" it looks more towards playstation-meets-alienware console. it has already been proven that modern consoles continually progress towards a pc. so please take your idiotically painful comments elsewhere.",Not an Insult
1,20120527231602z,howe does it feel to be a freedom leech parasite?,Not an Insult
0,,".........and all the arseanal fans silently weep into their hankies!!

there's nothing to see here, fellas- he's a free man and still the spurs manager!

 

unlucky!",Not an Insult
0,20120529211852z,yes  you have to have comedy in your life,Not an Insult
1,20120619192139z,"moron, the latinos are becoming a large voting block you can't just dismissed them like you did with blacks, gay, women and other minorities.
you need a majority to win and all whites don't buy your crap",Insult
